     R(m)          C(m)      Theta(deg)     dT(N)        dM(Nm)       ETA_L       Sigma
  0.13609E+00  0.56086E-01  0.42911E+03  0.16500E+01  0.35075E+00  0.85414E+00  0.13118E+00
  0.18146E+00  0.47191E-01  0.41998E+03  0.22000E+01  0.44702E+00  0.89360E+00  0.82780E-01
  0.22682E+00  0.40814E-01  0.41309E+03  0.27500E+01  0.54885E+00  0.90975E+00  0.57275E-01
  0.27219E+00  0.35831E-01  0.40777E+03  0.33000E+01  0.65319E+00  0.91732E+00  0.41902E-01
  0.31755E+00  0.31828E-01  0.40358E+03  0.38500E+01  0.75907E+00  0.92093E+00  0.31904E-01
  0.36292E+00  0.28559E-01  0.40022E+03  0.44000E+01  0.86609E+00  0.92243E+00  0.25049E-01
  0.40828E+00  0.25854E-01  0.39747E+03  0.49500E+01  0.97406E+00  0.92271E+00  0.20157E-01
  0.45365E+00  0.23588E-01  0.39520E+03  0.55000E+01  0.10829E+01  0.92223E+00  0.16551E-01
  0.49901E+00  0.21667E-01  0.39329E+03  0.60500E+01  0.11924E+01  0.92125E+00  0.13821E-01
  0.54438E+00  0.20022E-01  0.39167E+03  0.66000E+01  0.13027E+01  0.91993E+00  0.11707E-01
  0.58974E+00  0.18600E-01  0.39028E+03  0.71500E+01  0.14136E+01  0.91837E+00  0.10039E-01
  0.63511E+00  0.17360E-01  0.38906E+03  0.77000E+01  0.15253E+01  0.91663E+00  0.87005E-02
  0.68047E+00  0.16270E-01  0.38800E+03  0.82500E+01  0.16375E+01  0.91477E+00  0.76107E-02
  0.72584E+00  0.15305E-01  0.38707E+03  0.88000E+01  0.17504E+01  0.91282E+00  0.67120E-02
  0.77120E+00  0.14446E-01  0.38624E+03  0.93500E+01  0.18640E+01  0.91079E+00  0.59626E-02
  0.81657E+00  0.13676E-01  0.38549E+03  0.99000E+01  0.19781E+01  0.90871E+00  0.53313E-02
  0.86193E+00  0.12983E-01  0.38482E+03  0.10450E+02  0.20929E+01  0.90659E+00  0.47946E-02
  0.90730E+00  0.12355E-01  0.38422E+03  0.11000E+02  0.22083E+01  0.90444E+00  0.43347E-02
       T            M           PH           PF           ETA
  0.11385E+03  0.22647E+02  0.24946E+04  0.22770E+04  0.91278E+00
